iter	Passed	Remaining
0	214	172654
1	249	100161
2	283	75851
3	311	62420
4	339	54375
5	363	48509
6	388	44333
7	415	41407
8	443	39281
9	472	37621
10	502	36350
11	535	35406
12	570	34795
13	599	33927
14	630	33233
15	661	32656
16	705	32755
17	743	32563
18	777	32189
19	808	31787
20	836	31276
21	866	30868
22	893	30403
23	919	29974
24	949	29677
25	977	29313
26	1002	28932
27	1028	28583
28	1054	28263
29	1082	28009
30	1111	27784
31	1140	27595
32	1167	27358
33	1196	27159
34	1228	27051
35	1261	26980
36	1310	27231
37	1346	27211
38	1379	27122
39	1408	26965
40	1434	26771
41	1462	26599
42	1492	26478
43	1533	26558
44	1567	26500
45	1592	26318
46	1619	26149
47	1644	25968
48	1669	25792
49	1695	25630
50	1720	25467
51	1756	25475
52	1792	25465
53	1824	25411
54	1852	25299
55	1879	25175
56	1908	25080
57	1938	24996
58	1967	24910
59	1997	24840
60	2031	24809
61	2060	24731
62	2089	24643
63	2118	24556
64	2144	24448
65	2171	24350
66	2201	24285
67	2235	24263
68	2268	24227
69	2305	24243
70	2340	24226
71	2395	24423
72	2424	24340
73	2451	24252
74	2479	24169
75	2508	24096
76	2543	24078
77	2572	24008
78	2602	23949
79	2632	23889
80	2659	23804
81	2684	23702
82	2710	23610
83	2735	23509
84	2759	23409
85	2784	23313
86	2813	23255
87	2852	23271
88	2882	23219
89	2912	23167
90	2938	23089
91	2965	23013
92	2990	22928
93	3015	22843
94	3039	22749
95	3066	22679
96	3095	22624
97	3122	22557
98	3153	22518
99	3182	22466
100	3210	22410
101	3244	22395
102	3273	22341
103	3304	22307
104	3340	22299
105	3368	22245
106	3394	22176
107	3420	22108
108	3447	22045
109	3473	21979
110	3500	21919
111	3527	21860
112	3554	21799
113	3584	21758
114	3618	21740
115	3646	21691
116	3673	21630
117	3700	21577
118	3727	21520
119	3753	21457
120	3779	21396
121	3805	21337
122	3834	21291
123	3866	21266
124	3910	21302
125	3944	21290
126	3987	21321
127	4027	21333
128	4061	21313
129	4091	21276
130	4123	21244
131	4164	21266
132	4210	21304
133	4250	21316
134	4288	21314
135	4323	21300
136	4353	21258
137	4384	21222
138	4414	21185
139	4455	21195
140	4499	21223
141	4537	21217
142	4573	21202
143	4608	21186
144	4638	21146
145	4668	21104
146	4697	21059
147	4727	21019
148	4761	20994
149	4787	20936
150	4812	20876
151	4839	20821
152	4865	20764
153	4895	20724
154	4926	20692
155	4953	20637
156	4976	20573
157	5001	20514
158	5028	20460
159	5053	20403
160	5077	20342
161	5102	20285
162	5127	20226
163	5152	20168
164	5180	20125
165	5209	20084
166	5237	20042
167	5265	19995
168	5293	19952
169	5318	19895
170	5342	19838
171	5366	19782
